Farmer_Message,Advisor_Reply,Crop,Problem_Type,Language,Location,Season,Urgency_Level,Sentiment,Advisor_Type,Product_Recommended,Cost_Estimate,Follow_Up_Required,Message_Length,Intent_Tag,Timestamp
म्हारा बैंगन ने उपकरण री समस्या से नुकसान भयो है।,फफूंदनाशक को उपयोग करो।,Brinjal,Equipment,Rajasthani,Bihar,Winter,Low,Worried,Private,Fungicide,313,Yes,10,ask_advice,08/04/2024 23:37
કપાસ નું પાક પાણીની અછત ને કારણે ખરાબ થઈ રહ્યું છે.,ખાતર નો છંટકાવ કરો.,Cotton,Water,Gujarati,West Bengal,Monsoon,Low,Hopeful,Govt_Expert,Fertilizer,4169,No,11,ask_advice,01/06/2024 23:55
ਚਾਹ ਦੀ ਫਸਲ ਪਾਣੀ ਦੀ ਕਮੀ ਕਾਰਨ ਖਰਾਬ ਹੋ ਰਹੀ ਹੈ।,ਸਿੰਚਾਈ ਪੰਪ ਦਾ ਛਿੜਕਾਅ ਕਰੋ।,Tea,Water,Punjabi,Rajasthan,Summer,Medium,Angry,NGO,Irrigation Pump,3194,Yes,11,ask_advice,25/03/2024 12:22
मेरे रागी को कीड़े ने नुकसान पहुंचाया है।,फफूंदनाशक का उपयोग करें।,Ragi,Pest,Hindi,Karnataka,Monsoon,Low,Neutral,NGO,Fungicide,744,Yes,8,ask_advice,28/01/2025 12:48
माझ्या कापूस ला उपकरण समस्या ने नुकसान केले आहे.,मातीची तपासणी करा आणि काही नाही लावा.,Cotton,Equipment,Marathi,Maharashtra,Kharif,High,Angry,AI,None,0,Yes,9,ask_advice,02/11/2024 14:31
मेरे टमाटर को रोग ने नुकसान कर दिया है।,नीम का तेल का उपयोग करो।,Tomato,Disease,Haryanvi,Haryana,Summer,Medium,Hopeful,Human,Neem Oil,485,No,9,ask_advice,07/02/2025 09:52
मसाले चे पीक बाजार समस्या मुळे खराब झाले आहे.,मातीची तपासणी करा आणि काही नाही लावा.,Spices,Market,Marathi,Sikkim,Zaid,High,Angry,AI,None,0,No,9,ask_advice,16/04/2025 21:14
ಈರುಳ್ಳಿ ಬೆಳೆ ಉಪಕರಣ ಸಮಸ್ಯೆ ಕಾರಣದಿಂದ ಹಾಳಾಗುತ್ತಿದೆ.,ಗೊಬ್ಬರ ಬಳಸಿ.,Onion,Equipment,Kannada,West Bengal,Summer,Low,Worried,AI,Fertilizer,3007,No,24,ask_advice,25/04/2024 22:35
मेरे टमाटर को पानी की कमी ने नुकसान पहुंचाया है।,मिट्टी की जांच करें और कोई नहीं लगाएं।,Tomato,Water,Hindi,Uttarakhand,Kharif,Low,Angry,Human,None,0,Yes,10,ask_advice,12/03/2025 19:25
منہ کپاس منز بیماری آیو۔,ایریگیشن پمپ دا چھڑکاو کرو۔,Cotton,Disease,Kashmiri,Goa,Winter,Low,Angry,NGO,Irrigation Pump,4357,Yes,5,ask_advice,02/07/2024 20:47
منہ بینگن منز بازار دی پریشانی آیو۔,ایریگیشن پمپ استیمال کرو۔,Brinjal,Market,Kashmiri,Uttarakhand,Kharif,Medium,Worried,Govt_Expert,Irrigation Pump,1073,Yes,7,ask_advice,01/04/2024 12:54
ಎನ್ನ ಪರಂಗಿ ಡ್ ವಾತಾವರಣ ಸಮಸ್ಯೆ ಆತ್ಂಡ್.,ಒಂಜಿಯು ಇಜ್ಜಿ ಸಿಂಪಿಲೆ।,Cotton,Weather,Tulu,Sikkim,Winter,Low,Frustrated,Human,None,0,Yes,6,ask_advice,20/07/2024 21:11
मेरे रागी को उपकरण की समस्या ने नुकसान पहुंचाया है।,कीटनाशक का उपयोग करें।,Ragi,Equipment,Hindi,Manipur,Kharif,Medium,Hopeful,AI,Pesticide,891,Yes,10,ask_advice,26/03/2025 01:59
दाल की फसल मौसम की समस्या से खराब हो रही है।,नीम तेल का उपयोग करें।,Pulses,Weather,Hindi,Uttarakhand,Rabi,Low,Hopeful,AI,Neem Oil,3076,Yes,11,ask_advice,10/03/2024 03:55
আমার ডাল এ পোকা হয়েছে।,মাটি পরীক্ষা করুন এবং সেচ পাম্প প্রয়োগ করুন।,Pulses,Pest,Bengali,Uttar Pradesh,Winter,Medium,Frustrated,AI,Irrigation Pump,535,Yes,5,ask_advice,12/02/2024 00:29
எனது தினை க்கு சந்தை பிரச்சனை தாக்குதல் உள்ளது.,மண்ணை சோதித்து வேப்ப எண்ணெய் பயன்படுத்தவும்.,Millets,Market,Tamil,Bihar,Summer,Low,Frustrated,Private,Neem Oil,1892,Yes,23,ask_advice,31/08/2024 19:52
हमर बैंगन मे उपकरण के समस्या भ गेल अछि।,किछु नहि के उपयोग करू।,Brinjal,Equipment,Maithili,Gujarat,Zaid,High,Frustrated,AI,None,0,Yes,9,ask_advice,21/07/2024 05:50
सेब के फसल बाजार के समस्या के कारण खराब हो रहल अछि।,कीटनाशक के छिड़काव करू।,Apple,Market,Maithili,Himachal Pradesh,Rabi,High,Worried,Private,Pesticide,142,No,12,ask_advice,08/02/2024 13:28
म्हारा आलू ने पाणी रो अभाव से नुकसान भयो है।,फफूंदनाशक रो छिड़काव करो।,Potato,Water,Rajasthani,Tripura,Monsoon,High,Neutral,AI,Fungicide,3961,No,10,ask_advice,20/03/2024 20:47
बाजरा के फसल पोषक तत्व के कमी के कारण खराब हो रहल बा।,कउनो नइखे के छिड़काव करीं।,Millets,Nutrient,Bhojpuri,Telangana,Summer,High,Frustrated,Human,None,0,Yes,13,ask_advice,01/05/2025 09:15
مصالحہ دی فصل آلہ دی پریشانی کی وجہ سی خراب ہو رہی ہے۔,ایریگیشن پمپ استیمال کرو۔,Spices,Equipment,Kashmiri,Haryana,Zaid,Low,Worried,Private,Irrigation Pump,3078,No,13,ask_advice,01/11/2024 07:30
ਮੇਰੀ ਆਲੂ ਨੂੰ ਉਪਕਰਣ ਦੀ ਸਮੱਸਿਆ ਨੇ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ ਹੈ।,ਕੀਟਨਾਸ਼ਕ ਵਰਤੋਂ।,Potato,Equipment,Punjabi,West Bengal,Zaid,Medium,Angry,Private,Pesticide,962,No,10,ask_advice,18/01/2024 17:15
वायंगें चें पीक किडे कारणान खराब जाला।,खत वापर।,Brinjal,Pest,Konkani,Rajasthan,Zaid,Medium,Frustrated,NGO,Fertilizer,4748,No,7,ask_advice,13/04/2024 03:21
मेरे टमाटर को पानी की कमी ने नुकसान कर दिया है।,मिट्टी की जांच करो और नीम का तेल लगाओ।,Tomato,Water,Haryanvi,Tamil Nadu,Winter,High,Worried,Govt_Expert,Neem Oil,4409,Yes,11,ask_advice,03/04/2024 03:43
ನನ್ನ ಬದನೆಕಾಯಿ ಗೆ ಹವಾಮಾನ ಸಮಸ್ಯೆ ನಷ್ಟವನ್ನುಂಟುಮಾಡಿದೆ.,ಮಣ್ಣನ್ನು ಪರೀಕ್ಷಿಸಿ ಮತ್ತು ಹನಿ ನೀರಾವರಿ ಕಿಟ್ ಹಾಕಿ.,Brinjal,Weather,Kannada,Uttar Pradesh,Zaid,Medium,Neutral,Human,Drip Kit,305,No,25,ask_advice,21/02/2025 23:56
మా గోధుమ లో నీటి కొరత సమస్య ఉంది.,ఫంగిసైడ్ వాడండి.,Wheat,Water,Telugu,Odisha,Summer,High,Hopeful,NGO,Fungicide,3678,Yes,16,ask_advice,13/12/2024 17:08
ସେଉ ଫସଲ କୀଟ କାରଣରୁ ନଷ୍ଟ ହେଉଛି।,ଡ୍ରିପ୍ ଇରିଗେସନ୍ କିଟ୍ ସ୍ପ୍ରେ କରନ୍ତୁ।,Apple,Pest,Odia,Odisha,Kharif,Medium,Neutral,NGO,Drip Kit,1644,Yes,6,ask_advice,17/04/2024 00:18
केला की फसल रोग की वजह से खराब हो रही है।,कुच्छ नह का छिड़काव करो।,Banana,Disease,Haryanvi,Maharashtra,Rabi,High,Angry,Human,None,0,Yes,11,ask_advice,08/09/2024 12:08
आम को खेत कीड़ा रो कारण खराब हो रियो है।,कीटनाशक को उपयोग करो।,Mango,Pest,Rajasthani,Karnataka,Summer,Medium,Neutral,NGO,Pesticide,204,No,10,ask_advice,22/02/2025 05:00
কপাহ শস্য পুষ্টিৰ অভাৱৰ কাৰণে নষ্ট হৈছে।,ফাংগিচাইড স্প্ৰে কৰক।,Cotton,Nutrient,Assamese,Mizoram,Rabi,Low,Worried,Govt_Expert,Fungicide,3082,Yes,7,ask_advice,17/02/2024 22:33
মোৰ কফি ত সঁজুলিৰ সমস্যা হৈছে।,ফাংগিচাইড ব্যৱহাৰ কৰক।,Coffee,Equipment,Assamese,Odisha,Monsoon,Low,Angry,Human,Fungicide,3681,Yes,6,ask_advice,28/09/2024 07:56
ଆଳୁ ଫସଲ ଉପକରଣ ସମସ୍ୟା କାରଣରୁ ନଷ୍ଟ ହେଉଛି।,ଡ୍ରିପ୍ ଇରିଗେସନ୍ କିଟ୍ ବ୍ୟବହାର କରନ୍ତୁ।,Potato,Equipment,Odia,Karnataka,Rabi,Low,Frustrated,Private,Drip Kit,4792,Yes,7,ask_advice,30/12/2024 19:52
मेरे आम को पानी की कमी ने नुकसान पहुंचाया है।,उर्वरक का छिड़काव करें।,Mango,Water,Hindi,Goa,Summer,Low,Worried,Human,Fertilizer,1466,No,10,ask_advice,22/03/2025 12:48
गेहूं की फसल रोग से खराब हो रही है।,मिट्टी की जांच करें और फफूंदनाशक लगाएं।,Wheat,Disease,Hindi,Jharkhand,Summer,High,Worried,Human,Fungicide,2178,No,9,ask_advice,10/07/2024 20:33
মোৰ ধান ত কীট হৈছে।,নিম তেল স্প্ৰে কৰক।,Rice,Pest,Assamese,Andhra Pradesh,Zaid,Low,Worried,AI,Neem Oil,1956,Yes,5,ask_advice,08/03/2024 11:39
ਬਾਜਰਾ ਦੀ ਫਸਲ ਕੀੜੇ ਕਾਰਨ ਖਰਾਬ ਹੋ ਰਹੀ ਹੈ।,ਮਿੱਟੀ ਦੀ ਜਾਂਚ ਕਰੋ ਅਤੇ ਫੰਜੀਸਾਈਡ ਲਗਾਓ।,Millets,Pest,Punjabi,Assam,Summer,Low,Frustrated,Human,Fungicide,2217,No,9,ask_advice,09/01/2024 10:59
गेहूं की फसल पोषक तत्वों की कमी से खराब हो रही है।,कोई नहीं का उपयोग करें।,Wheat,Nutrient,Hindi,Tamil Nadu,Summer,Low,Neutral,Private,None,0,No,12,ask_advice,15/06/2024 21:45
ਮੇਰੀ ਕਣਕ ਦੀ ਫਸਲ ਵਿੱਚ ਪਾਣੀ ਦੀ ਕਮੀ ਹਨ।,ਮਿੱਟੀ ਦੀ ਜਾਂਚ ਕਰੋ ਅਤੇ ਖਾਦ ਲਗਾਓ।,Wheat,Water,Punjabi,Gujarat,Monsoon,Medium,Frustrated,Govt_Expert,Fertilizer,350,Yes,9,ask_advice,12/04/2024 20:38
ମୋ ଆମ ରେ ରୋଗ ହୋଇଛି।,ଡ୍ରିପ୍ ଇରିଗେସନ୍ କିଟ୍ ବ୍ୟବହାର କରନ୍ତୁ।,Mango,Disease,Odia,Telangana,Winter,Medium,Worried,Private,Drip Kit,830,Yes,5,ask_advice,20/12/2024 22:47
منہ راگی کو بیماری نی نقصان کرو۔,ایریگیشن پمپ دا چھڑکاو کرو۔,Ragi,Disease,Kashmiri,Goa,Rabi,High,Neutral,Private,Irrigation Pump,3436,No,7,ask_advice,24/05/2024 23:28
અમારા મસાલા ને સાધન સમસ્યા થી નુકસાન થયું છે.,જમીનનું પરીક્ષણ કરો અને સિંચાઈ પંપ લગાવો.,Spices,Equipment,Gujarati,Sikkim,Kharif,High,Worried,Govt_Expert,Irrigation Pump,3539,Yes,9,ask_advice,02/05/2024 10:07
منہ کیلا منز بازار دی پریشانی آیو۔,نیم دا تیل استیمال کرو۔,Banana,Market,Kashmiri,Bihar,Zaid,Medium,Hopeful,Govt_Expert,Neem Oil,2734,No,7,ask_advice,19/02/2025 07:46
منہ کیلا منز آلہ دی پریشانی آیو۔,مٹی دی جانچ کرو تے نیم دا تیل لاو۔,Banana,Equipment,Kashmiri,Maharashtra,Winter,High,Angry,Private,Neem Oil,2246,No,7,ask_advice,10/12/2024 18:47
गन्नो को खेत पाणी रो अभाव रो कारण खराब हो रियो है।,नीम रो तेल रो छिड़काव करो।,Sugarcane,Water,Rajasthani,Mizoram,Winter,High,Frustrated,AI,Neem Oil,1811,No,12,ask_advice,28/06/2024 20:05
माझ्या बाजरी मध्ये हवामान समस्या आहेत.,निंबोळी तेल ची फवारणी करा.,Millets,Weather,Marathi,Chhattisgarh,Kharif,Medium,Angry,Human,Neem Oil,4865,Yes,6,ask_advice,01/08/2024 03:11
ಎನ್ನ ಟೊಮೇಟೊ ಗ್ ಪೋಷಕಾಂಶ ಕೊರತೆ ರ್ದ್ ನಷ್ಟ ಆತ್ಂಡ್.,ಮಣ್ಣ್ ಪರಿಶೀಲನೆ ಮಲ್ತ್ ಕೀಟನಾಶಕ ಹಾಕುಲೆ।,Tomato,Nutrient,Tulu,Meghalaya,Zaid,High,Worried,Govt_Expert,Pesticide,2853,No,8,ask_advice,13/01/2024 18:00
எனது பருத்தி இல் ஊட்டச்சத்து குறைபாடு உள்ளன.,சொட்டு நீர்ப்பாசன கருவி தெளிக்கவும்.,Cotton,Nutrient,Tamil,Punjab,Zaid,Low,Angry,Govt_Expert,Drip Kit,567,No,22,ask_advice,08/12/2024 22:37
केला की फसल रोग की वजह से खराब हो रही है।,मिट्टी की जांच करो और खाद लगाओ।,Banana,Disease,Haryanvi,Assam,Rabi,Medium,Hopeful,Private,Fertilizer,227,Yes,11,ask_advice,30/01/2024 16:01
